lp,Data,Pora roku,Kwartał,Miesiąc,Tydzień,Dzień tygodnia,Dzień miesiąca,Pora zaśnięcia,Godzina zaśnięcia,Minuty zaśnięcia,Pora wybudzenia,Godzina wybudzenia,Minuty wybudzenia,Różnica,h różnica,min różnica,Różnica (minuty),Liczba wybudzeń,Liczba drzemek,Drzemki (minuty),Długość snu ogółem (podstawa + drzemki),DS ogółem (h),DS ogółem (minuty),DS ogółem (łącznie w min),minuty w łóżku gdy nie spałem,czy zasnąłem po północy?
42,2024-02-11,1,1,2,7,1,11,23:41,23,41,09:37,9,37,09:56,9,56,596,6,0,0,09:21:00,9,21,561,35,FALSE
43,2024-02-12,1,1,2,7,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2024-02-13,1,1,2,7,3,13,22:29,22,29,08:41,8,41,10:12,10,12,612,7,0,0,08:56:00,8,56,536,76,FALSE
45,2024-02-14,1,1,2,7,4,14,23:00,23,0,08:57,8,57,09:57,9,57,597,7,0,0,08:50:00,8,50,530,67,FALSE
46,2024-02-15,1,1,2,7,5,15,00:16,0,16,09:54,9,54,09:38,9,38,578,7,0,0,08:23:00,8,23,503,75,TRUE
47,2024-02-16,1,1,2,7,6,16,23:37,23,37,09:31,9,31,09:54,9,54,594,6,0,0,07:19:00,7,19,439,155,FALSE
48,2024-02-17,1,1,2,7,7,17,00:29,0,29,08:32,8,32,08:03,8,3,483,3,0,0,07:56:00,7,56,476,7,TRUE
49,2024-02-18,1,1,2,8,1,18,02:00,2,0,10:20,10,20,08:20,8,20,500,7,0,0,07:42:00,7,42,462,38,TRUE
50,2024-02-19,1,1,2,8,2,19,00:41,0,41,09:46,9,46,09:05,9,5,545,6,0,0,07:22:00,7,22,442,103,TRUE
51,2024-02-20,1,1,2,8,3,20,23:15,23,15,06:06,6,6,06:51,6,51,411,4,1,28,07:03:00,7,3,423,16,FALSE
52,2024-02-21,1,1,2,8,4,21,23:28,23,28,08:02,8,2,08:34,8,34,514,2,0,0,08:23:00,8,23,503,11,FALSE
53,2024-02-22,1,1,2,8,5,22,01:00,1,0,08:19,8,19,07:19,7,19,439,2,0,0,06:02:00,6,2,362,77,TRUE
54,2024-02-23,1,1,2,8,6,23,23:25,23,25,07:43,7,43,08:18,8,18,498,3,0,0,07:59:00,7,59,479,19,FALSE
55,2024-02-24,1,1,2,8,7,24,23:28,23,28,08:43,8,43,09:15,9,15,555,4,0,0,07:44:00,7,44,464,91,FALSE
56,2024-02-25,1,1,2,9,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,2024-02-26,1,1,2,9,2,26,23:42,23,42,08:05,8,5,08:23,8,23,503,3,0,0,08:01:00,8,1,481,22,FALSE
58,2024-02-27,1,1,2,9,3,27,23:33,23,33,07:28,7,28,07:55,7,55,475,5,0,0,07:43:00,7,43,463,12,FALSE
59,2024-02-28,1,1,2,9,4,28,23:23,23,23,07:01,7,1,07:38,7,38,458,2,1,35,07:43:00,7,43,463,30,FALSE
60,2024-02-29,1,1,2,9,5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,2024-03-01,2,1,3,9,6,1,23:58,23,58,06:13,6,13,06:15,6,15,375,2,0,0,06:11:00,6,11,371,4,FALSE
